ActionGeo_CountryCode,events,avg_tone,median_tone,conflict_share,material_conflict_share,protest_share,diplomacy_share,avg_goldstein,avg_attention,total_mentions,negative_tone_score,inverse_goldstein,negative_tone_score_scaled,conflict_share_scaled,material_conflict_share_scaled,avg_attention_scaled,inverse_goldstein_scaled,global_tension_index_0_100
TV,3,-1.54098137446888,-1.0163749294184,1.0,0.0,0.0,0.0,-3.3333333333333335,3.2739478544985388,8,1.54098137446888,3.3333333333333335,0.1232785099575104,1.0,0.0,0.35034686891781536,0.6776063352110376,43.02463428172727
LG,22,-1.337868737428057,-2.78704828544987,0.4090909090909091,0.36363636363636365,0.0,0.13636363636363635,-1.190909090909091,4.484175643832943,152,1.337868737428057,1.190909090909091,0.10702949899424455,0.4090909090909091,0.6363636363636365,0.7053048227775292,0.24209026339812525,41.99758261248889
BL,29,-4.455581482718319,-1.6867469879518,0.41379310344827586,0.3103448275862069,0.0,0.3448275862068966,-0.8482758620689655,3.9910739503139423,139,4.455581482718319,0.8482758620689655,0.3564465186174655,0.41379310344827586,0.5431034482758621,0.5606788525934148,0.17243912944336062,40.92922104756758
YM,136,-4.006282415367669,-4.62476486994876,0.47058823529411764,0.25735294117647056,0.0,0.27205882352941174,-2.1323529411764706,3.310566010271415,456,4.006282415367669,2.1323529411764706,0.3205025932294135,0.47058823529411764,0.4503676470588235,0.3610869178258023,0.43346875855411965,40.72028303924552
ML,28,-4.994694656297422,-5.126048102383059,0.5357142857142857,0.14285714285714285,0.0,0.14285714285714285,-1.4714285714285715,3.949129361619724,136,4.994694656297422,1.4714285714285715,0.3995755725037937,0.5357142857142857,0.25,0.5483765690815022,0.29911479654315803,40.65562447685479
ES,100,-3.8715727038331686,-4.45387062566278,0.57,0.22,0.0,0.29,-1.4409999999999998,3.5618153919383615,360,3.8715727038331686,1.4409999999999998,0.30972581630665347,0.57,0.385,0.43477797599764123,0.29292921871173155,39.848660220320525
BO,104,-5.359969743556609,-3.92156862745098,0.5,0.16346153846153846,0.0,0.19230769230769232,-1.5990384615384616,3.503365327246035,392,5.359969743556609,1.5990384615384616,0.4287975794845287,0.5,0.28605769230769235,0.41763466169846575,0.32505557753537184,39.15091022052117
DJ,35,-2.3869976032089566,-1.29682997118156,0.45714285714285713,0.2571428571428571,0.0,0.3142857142857143,-1.6428571428571428,3.8584635298934367,162,2.3869976032089566,1.6428571428571428,0.19095980825671652,0.45714285714285713,0.44999999999999996,0.521784419737244,0.3339631223540114,39.077004149816574
GZ,229,-5.141760950420031,-4.62476486994876,0.4104803493449782,0.27510917030567683,0.004366812227074236,0.2794759825327511,-1.4707423580786028,3.218559405306751,730,5.141760950420031,1.4707423580786028,0.4113408760336025,0.4104803493449782,0.4814410480349345,0.3341015217477653,0.29897530178918447,38.7267819390093
LE,283,-4.377403950696042,-4.27350427350428,0.4169611307420495,0.24734982332155478,0.0,0.2791519434628975,-1.0844522968197878,3.777417775395858,1334,4.377403950696042,1.0844522968197878,0.35019231605568335,0.4169611307420495,0.43286219081272087,0.4980138242848797,0.22044952396777465,38.369579717262155
BN,23,-2.509088322229874,-2.87539936102236,0.43478260869565216,0.30434782608695654,0.0,0.17391304347826086,-1.5086956521739132,3.50969512547465,81,2.509088322229874,1.5086956521739132,0.20072706577838992,0.43478260869565216,0.532608695652174,0.41949118180763434,0.3066905195455175,37.88600142958736
SO,91,-3.1799623410464757,-2.99032541776605,0.45054945054945056,0.25274725274725274,0.01098901098901099,0.25274725274725274,-1.1703296703296704,3.802265412330741,417,3.1799623410464757,1.1703296703296704,0.25439698728371807,0.45054945054945056,0.4423076923076923,0.5053015980762134,0.23790683967024895,37.80925135774646
IS,4578,-4.682136724643171,-4.62476486994876,0.4163390126692879,0.23700305810397554,0.02490170380078637,0.3160768894713849,-1.1037570991699432,3.62091716358759,18975,4.682136724643171,1.1037570991699432,0.3745709379714537,0.4163390126692879,0.4147553516819572,0.45211243494741626,0.22437384087951331,37.64303156299257
SU,230,-5.055078505462918,-5.66037735849057,0.39565217391304347,0.25217391304347825,0.008695652173913044,0.2826086956521739,-1.0143478260869565,3.527441639374455,898,5.055078505462918,1.0143478260869565,0.4044062804370334,0.39565217391304347,0.44130434782608696,0.4246962071074436,0.20619855391921965,37.44515126405654
BK,5,-5.79710144927537,-5.79710144927537,0.6,0.0,0.0,0.4,-0.8,4.208706504297896,28,5.79710144927537,0.8,0.4637681159420296,0.6,0.0,0.624510146781341,0.16262552045064904,37.018075663480396
SC,3,-12.5,-12.5,0.0,0.0,0.0,0.0,-0.7999999999999999,4.276666119016055,15,12.5,0.7999999999999999,1.0,0.0,0.0,0.6444425975133798,0.162625520450649,36.14136235928058
AF,363,-3.7148481462865934,-4.25963488843813,0.349862258953168,0.24793388429752067,0.008264462809917356,0.3884297520661157,-0.3435261707988981,3.8765770564822613,1757,3.7148481462865934,0.3435261707988981,0.2971878517029275,0.349862258953168,0.4338842975206612,0.5270970892956655,0.06983265289323669,33.557283007313174
RQ,21,-1.1021868610399157,-0.591715976331358,0.42857142857142855,0.23809523809523808,0.0,0.23809523809523808,-0.8714285714285713,3.988039455347078,112,1.1021868610399157,0.8714285714285713,0.08817494888319326,0.42857142857142855,0.4166666666666667,0.5597888398752073,0.17714565620517125,33.40695080403334
KU,57,-3.5263838036611723,-3.77358490566038,0.38596491228070173,0.21052631578947367,0.0,0.38596491228070173,-0.2894736842105263,3.8446067785290348,260,3.5263838036611723,0.2894736842105263,0.2821107042928938,0.38596491228070173,0.3684210526315789,0.5177202558213286,0.058844760689379584,32.261233714317655
CO,142,-3.9969971085560507,-3.40909090909091,0.4014084507042254,0.24647887323943662,0.007042253521126761,0.3380281690140845,-0.08591549295774648,3.562126672873703,561,3.9969971085560507,0.08591549295774648,0.3197597686844841,0.4014084507042254,0.4313380281690141,0.43486927421840443,0.01746506469628449,32.09681172944824
LO,22,-4.387334397805004,-5.34090909090909,0.36363636363636365,0.09090909090909091,0.0,0.18181818181818182,0.08181818181818183,4.481066808461947,138,4.387334397805004,0.0,0.3509867518244003,0.36363636363636365,0.15909090909090912,0.7043930061328443,0.0,31.56214061369035
LH,43,-2.1601123950627446,-1.99004975124379,0.37209302325581395,0.20930232558139536,0.0,0.2558139534883721,-0.8534883720930233,3.7296431693371153,193,2.1601123950627446,0.8534883720930233,0.17280899160501956,0.37209302325581395,0.3662790697674419,0.484001605624464,0.1734987383877564,31.373628572809913
CS,39,1.4006363096969774,1.58730158730158,0.5897435897435898,0.10256410256410256,0.0,0.3076923076923077,-1.7282051282051283,3.599281635061529,151,0.0,1.7282051282051283,0.0,0.5897435897435898,0.1794871794871795,0.4457667676243186,0.35131282302479955,31.326207197597743
HA,84,-2.22280407130253,-2.57756563245823,0.34523809523809523,0.2261904761904762,0.0,0.32142857142857145,0.31190476190476196,4.086681294641723,461,2.22280407130253,0.0,0.1778243257042024,0.34523809523809523,0.39583333333333337,0.5887203400023384,0.0,30.15232188555939
RB,41,-1.752995943659387,-0.56657223796034,0.36585365853658536,0.24390243902439024,0.024390243902439025,0.4146341463414634,-0.44634146341463415,3.7159523879208285,214,1.752995943659387,0.44634146341463415,0.14023967549275096,0.36585365853658536,0.4268292682926829,0.47998612043969685,0.0907331409831365,30.07283727489705
HR,42,-5.279221127036709,-6.61654135338346,0.2619047619047619,0.2619047619047619,0.0,0.42857142857142855,0.6142857142857143,3.214825856332784,127,5.279221127036709,0.0,0.4223376901629367,0.2619047619047619,0.45833333333333337,0.3330064775617751,0.0,29.51164525925615
SY,373,-3.9407211696008146,-4.18410041841004,0.32171581769436997,0.21715817694369974,0.00804289544235925,0.45308310991957107,0.02091152815013402,3.5658637383266196,1490,3.9407211696008146,0.0,0.31525769356806516,0.32171581769436997,0.38002680965147456,0.43596534978227547,0.0,29.059313413923704
