event_date,events,avg_tone,conflict_share,avg_attention
2023-01-26,56,-2.025155783778833,0.3392857142857143,4.027948074920145
2023-01-30,20,0.4885162419799986,0.15,3.5267554759812954
2023-02-06,14,0.5135030998099607,0.0,3.555757867469353
2023-02-24,15,0.3380443964060467,0.0,3.1243040124604824
2023-03-27,8,-3.4150824547452787,0.75,3.5491051610040136
2023-03-31,1,-0.62370062370063,0.0,5.488937726156687
2023-04-06,10,0.03974856258768013,0.5,3.9132002061171165
2023-04-17,13,-1.1652669700838192,0.38461538461538464,3.8901537630615994
2023-04-26,9,-3.1318909893768248,0.8888888888888888,3.041643904687584
2023-05-06,7,-3.8164749052302698,0.2857142857142857,3.8749042803669433
2023-05-13,11,-0.7916887620009709,0.45454545454545453,5.696415674490092
2023-05-17,8,-1.0989010989011,0.0,4.246446050248315
2023-05-19,12,1.6391735591903511,0.08333333333333333,4.1149941683314735
2023-05-20,668,-1.59061655732452,0.3188622754491018,3.7461681925157233
2023-05-25,10,-4.513408858166919,0.6,3.695487815554195
2023-05-26,1581,-1.928899398952074,0.2808349146110057,3.7827303416341818
2023-05-27,5,-5.740489776331605,0.4,4.292253489364429
2023-05-29,12,-2.3204754009896966,0.3333333333333333,3.162258620898579
2023-05-31,9,-1.0118102768638855,0.5555555555555556,3.7353576994463733
2023-06-04,1,-4.95049504950495,0.0,2.8903717578961645
2023-06-05,1464,-2.4176951497241363,0.24726775956284153,3.776639677347443
2023-06-06,18,3.2389470143466235,0.16666666666666666,4.0984669925530754
2023-06-09,8,-1.3094701329024199,0.0,3.0388000787891043
2023-06-15,4,1.207321210902645,0.25,3.1780538303479453
2023-06-16,1146,-2.1385571841301902,0.2879581151832461,3.8783094094571733
2023-06-17,12,-0.7461992093894784,0.25,3.7778489699662328
2023-06-26,5,-1.7620206766198638,0.0,3.6144152010546646
2023-06-30,3,-5.226955184347596,0.6666666666666666,3.3524698782694613
2023-07-19,5,-5.656101990786998,0.2,3.6637668095188665
2023-07-23,4,-4.38711207480689,0.25,3.401197381662155
2023-07-25,9,2.802634452731311,0.0,3.5020638940022226
2023-07-26,2032,-2.1069874602371566,0.2765748031496063,3.8287530712501705
2023-07-27,20,0.275086685898296,0.2,4.123788290374957
2023-07-29,4,-4.43262411347518,0.75,4.868716484103023
2023-07-30,685,-1.8355075839670603,0.22481751824817517,3.6835940341594715
2023-07-31,36,0.553352480189045,0.19444444444444445,4.296419414150123
2023-08-06,10,-3.994631669457842,0.5,4.211325885918804
2023-08-19,9,0.8142937463234433,0.0,3.399296774117384
2023-08-23,10,0.746757761201121,0.1,3.556812659931205
2023-08-25,8,-0.1811725072496027,0.25,3.8878431322229554
2023-08-26,1509,-2.455565188662374,0.3035122597746852,3.828299066937565
2023-08-29,14,0.33100116165442445,0.21428571428571427,3.624708545583538
2023-08-30,1542,-2.155699724017188,0.3022049286640726,3.817329756735008
2023-08-31,6,-3.1297264696275513,0.0,4.680756654729599
2023-09-05,1592,-1.9675829730605718,0.25690954773869346,3.6658671424465323
2023-09-06,20,-0.08332961307633387,0.0,3.6482792360091887
2023-09-09,13,-1.3925035162992683,0.38461538461538464,3.6072774454080356
2023-09-15,12,0.776187109697185,0.0,4.069616674469772
2023-09-16,980,-1.242946126120438,0.2724489795918367,3.745484171836258
2023-09-17,1,-2.79805352798054,0.0,3.9120230054281455
2023-09-26,14,1.3410903706276116,0.07142857142857142,3.3402410540628744
2023-09-30,3,-4.05578930340916,0.3333333333333333,3.912023005428145
2023-10-08,7,-1.7388035176947343,0.0,2.9991203487850355
2023-10-19,3,-7.165156605246186,1.0,2.620061685824055
2023-10-23,32,-1.1376157701304548,0.21875,3.776135556737362
2023-10-25,2,0.169779286926995,0.0,2.9957322735539904
2023-10-26,1700,-2.0597314148745736,0.26588235294117646,3.99105451845457
2023-10-27,4,3.0946096137816097,0.0,5.18793168296346
2023-10-29,1,-3.06748466257669,0.0,4.276666119016055
2023-10-30,1416,-2.363266835508673,0.3008474576271186,3.755509258526724
2023-10-31,20,-2.4749175593571953,0.2,4.497918903519736
2023-11-06,17,-4.63408441533822,0.4117647058823529,3.1149179448443576
2023-11-07,1193,-1.6838950555916152,0.26320201173512153,3.808257982602465
2023-11-11,2,-7.28051391862955,1.0,2.9957322735539904
2023-11-17,8,-3.944942074612152,0.75,3.3225450619988504
2023-11-18,727,-0.6409634556749648,0.22558459422283356,3.7406334317066183
2023-11-26,2,-1.06680667499149,0.5,4.903212919846498
2023-12-19,2,-4.10509031198686,0.0,4.2484952420493585
2023-12-23,7,-2.7538197703602587,0.5714285714285714,3.574331806515743
2023-12-25,3,-8.067547197375669,0.6666666666666666,2.349751613751945
2023-12-26,918,-2.754748280098323,0.29193899782135074,3.8924427912590525
2023-12-27,6,-0.6102351266567666,0.0,4.126114622156876
2023-12-29,2,-6.63265306122449,0.0,5.488937726156687
2023-12-30,681,-3.2004157377618108,0.3641703377386197,3.8954682385934594
2023-12-31,4,-4.91243903147521,0.5,4.242334999855339
2024-01-07,7,-5.239095749582789,0.2857142857142857,4.342792505910028
2024-01-19,5,-5.34405028207509,0.8,5.173554782010979
2024-01-23,25,-2.6993075527380013,0.36,3.645657421305005
2024-01-25,12,-2.8148263027295353,0.16666666666666666,3.204488002044052
2024-01-26,2591,-2.3912402471083634,0.2890775762253956,3.724508147856337
2024-01-27,3,-4.8882472826087,1.0,4.536211326371312
2024-01-29,5,-0.19699774357865796,0.0,3.9533343452095466
2024-01-30,1446,-1.8911750820036672,0.28907330567081607,3.8743969941025105
2024-01-31,9,-0.33360441055550655,0.0,4.88895888119113
2024-02-05,2,-1.88679245283019,0.0,4.276666119016055
2024-02-06,1199,-1.9478947450816388,0.23603002502085071,3.8718615288424454
2024-02-15,8,-2.918095566550471,0.5,3.8704267010542455
2024-02-17,9,-0.035080539123898115,0.3333333333333333,3.3524698782694617
2024-02-24,835,-1.5298310559301163,0.2251497005988024,3.731166005711104
2024-02-25,30,0.49777739324278614,0.16666666666666666,3.2509368237292113
2024-03-06,3,1.1503806663407135,0.0,3.795787413998294
2024-03-17,6,-5.40968088282943,0.6666666666666666,4.228881742041714
2024-03-19,16,-1.8639773712895518,0.3125,4.2496074040668255
2024-03-23,5,-7.60233918128655,0.2,3.444889502344121
2024-03-25,8,-4.64044865246157,0.625,3.9636621801548966
2024-03-26,1887,-2.922992913496106,0.3275039745627981,3.7809383749000043
2024-03-29,5,-1.996222173079764,0.0,4.323779333278609
2024-03-30,658,-2.5795374213204485,0.3404255319148936,3.8484299339077457
2024-04-04,4,-2.543345543345535,0.5,4.189654742026425
2024-04-05,1138,-2.6071100050040026,0.28822495606326887,3.7945279343167226
2024-04-09,2,-2.58790068292374,0.5,4.882801922586371
2024-04-16,1134,-2.5684125961321436,0.31922398589065254,3.8176918877765864
2024-04-30,1,-5.17928286852589,1.0,5.488937726156687
2024-05-06,7,-0.6579136949787515,0.5714285714285714,3.3745419638317093
2024-05-19,2,-3.47394540942928,1.0,4.276666119016055
2024-05-23,14,-1.3193379652391264,0.21428571428571427,4.808423728005729
2024-05-26,612,-2.5318035999769672,0.2647058823529412,3.7132000095771294
2024-05-29,19,-1.6786039865957298,0.5263157894736842,3.8574863106756987
2024-05-30,1531,-2.0481613605426845,0.2834748530372306,3.9891961628288195
2024-06-05,1251,-2.0698682795176615,0.28776978417266186,3.714732845555718
2024-06-09,2,1.1066398390342,0.0,4.2484952420493585
2024-06-12,22,-5.753695897530427,0.4090909090909091,3.4930848740475566
