event_category,events,total_mentions,avg_mentions,avg_tone,avg_goldstein,avg_attention,conflict_share,category_label_sq,conflict_share_pct
Material Cooperation,4964,25562,5.149476228847703,-0.9713907431440529,6.919339242546332,3.968237117657364,0.0,Bashkëpunim material,0.0
Protest,816,4302,5.272058823529412,-3.4185039937597943,-6.602941176470588,3.9016234896529887,1.0,Protestë,100.0
Other Conflict,11551,54616,4.72824863648169,-3.568153760088451,-3.428932559951519,3.818930035950558,1.0,Konflikt tjetër,100.0
Other Cooperation,23875,112414,4.708439790575916,-2.3482575595237924,1.4480712041884816,3.806783875384329,0.0,Bashkëpunim tjetër,0.0
Coercion,4595,21608,4.702502720348204,-5.6853878892638425,-5.29601741022851,3.7841109192154967,1.0,Detyrim / Presion,100.0
Diplomacy / Consultation,26155,121368,4.6403364557446,-0.9088909540468195,2.963804243930414,3.767582773410651,0.0,Diplomaci / Konsultim,0.0
Engagement / Cooperation,7512,34514,4.5945154419595315,0.3083830593208198,4.072710330138444,3.763849248483749,0.0,Angazhim / Bashkëpunim,0.0
Conflict / Violence,7238,33324,4.604034263608732,-5.285077639935762,-9.800773694390715,3.7379285942917537,1.0,Konflikt / Dhunë,100.0
