ActionGeo_CountryCode,events,avg_tone,median_tone,conflict_share,material_conflict_share,protest_share,diplomacy_share,avg_goldstein,avg_attention,total_mentions
CY,80,-1.279519521117266,-1.97183098591549,0.1,0.05,0.0,0.4125,1.9274999999999998,3.3470150058481236,278
DA,85,-0.7369585211884696,-0.78947368421052,0.17647058823529413,0.047058823529411764,0.0,0.5058823529411764,1.3341176470588234,3.828058502732779,397
DJ,39,-3.9999922229629012,-3.83747178329572,0.5897435897435898,0.28205128205128205,0.0,0.1794871794871795,-2.7153846153846155,3.8589623301529636,180
DR,80,-0.26456962454442,-0.66225165562914,0.0625,0.025,0.0,0.6375,3.3425,3.1058779082249375,223
EC,79,-4.970870542021568,-5.49777117384844,0.4936708860759494,0.43037974683544306,0.0,0.31645569620253167,-1.9354430379746836,3.9825244324127578,396
EG,399,-2.8768879499267594,-3.52941176470588,0.2807017543859649,0.17293233082706766,0.002506265664160401,0.46365914786967416,0.00952380952380952,3.664931183922947,1744
EI,603,-1.223306098346997,-1.22377622377622,0.19900497512437812,0.10945273631840796,0.003316749585406302,0.42122719734660036,1.0208955223880598,3.9325253580005306,3036
ES,85,-3.4529885631413957,-4.11455877488687,0.5411764705882353,0.16470588235294117,0.0,0.32941176470588235,-1.0599999999999998,3.468550887981174,282
ET,112,-2.08990025884897,-1.29682997118156,0.25,0.11607142857142858,0.017857142857142856,0.375,2.0035714285714286,3.5193672353177035,427
EZ,41,-1.559595353805593,-2.85171102661597,0.14634146341463414,0.024390243902439025,0.0,0.5121951219512195,1.448780487804878,3.909861146350186,213
FI,116,-1.007596574749901,-1.5929203539823,0.1810344827586207,0.07758620689655173,0.0,0.39655172413793105,1.5206896551724138,3.868372363510503,547
FJ,136,-0.7318737427834889,-1.59362549800796,0.16911764705882354,0.03676470588235294,0.0,0.4852941176470588,1.6058823529411765,3.9415012449187636,677
FR,984,-1.634168140253144,-1.526905046878115,0.2886178861788618,0.15040650406504066,0.01016260162601626,0.3902439024390244,0.4760162601626016,3.7655769123674343,4570
GA,70,-2.479597138096423,-2.6344676180022,0.17142857142857143,0.1,0.0,0.4142857142857143,2.04,4.006839195352366,352
GB,23,-0.8215671523721519,-0.20876826722338,0.043478260869565216,0.0,0.0,0.5652173913043478,3.8130434782608695,3.3232327458392823,77
GG,26,-6.3251097851999045,-6.76470588235294,0.5,0.19230769230769232,0.11538461538461539,0.23076923076923078,-1.8076923076923077,4.129749803596727,139
GH,468,0.11875886659695142,1.36363636363636,0.15598290598290598,0.07692307692307693,0.00641025641025641,0.45085470085470086,1.3128205128205128,3.9239241077130735,2294
GL,32,-1.6231039918089596,-1.51285930408472,0.34375,0.0625,0.0,0.1875,-0.471875,3.822683623371758,155
GM,857,-2.253510209933406,-2.05462598425197,0.25670945157526254,0.12602100350058343,0.015169194865810968,0.41073512252042005,0.6507584597432906,3.6434665317026136,3587
GQ,40,-1.1322249483426974,-0.70921985815603,0.2,0.075,0.0,0.425,1.3575,4.238991193504844,223
GR,275,-0.6100307627115238,0.74404761904761,0.12363636363636364,0.04363636363636364,0.0,0.4763636363636364,1.7687272727272727,3.93115921923727,1375
GV,79,0.026013798961240626,0.707964601769909,0.06329113924050633,0.012658227848101266,0.012658227848101266,0.7721518987341772,5.7784810126582276,3.90404041223968,373
GY,67,-1.5519516109434923,-2.61261261261261,0.19402985074626866,0.14925373134328357,0.0,0.5522388059701493,0.9194029850746268,4.095003175735335,379
GZ,233,-5.057632827012723,-4.62476486994876,0.40772532188841204,0.2703862660944206,0.004291845493562232,0.27467811158798283,-1.4060085836909872,3.22482480501747,743
HA,84,-2.22280407130253,-2.57756563245823,0.34523809523809523,0.2261904761904762,0.0,0.32142857142857145,0.31190476190476196,4.086681294641723,461
HK,80,-1.5427067957786589,-1.35135135135135,0.2125,0.1,0.0,0.2875,0.5625,4.187869785602781,473
HO,22,-0.25870443619614325,-0.16,0.13636363636363635,0.13636363636363635,0.0,0.4090909090909091,0.8090909090909091,3.699643425637812,94
HR,37,-6.518871919813231,-6.61654135338346,0.2972972972972973,0.2972972972972973,0.0,0.35135135135135137,0.06756756756756757,3.076037246618268,100
HU,93,-2.2504430411628378,-1.94664608896298,0.25806451612903225,0.07526881720430108,0.021505376344086023,0.23655913978494625,0.8333333333333334,4.2232424231348835,656
IC,53,0.5149275591448419,0.38834951456311,0.11320754716981132,0.03773584905660377,0.0,0.660377358490566,2.271698113207547,3.827939202838535,233
ID,275,-1.4221375916889876,-0.82150858849888,0.2509090909090909,0.16363636363636364,0.0,0.44363636363636366,0.5454545454545454,3.72930382536402,1219
IN,3222,-1.7901532793860535,-1.38121546961326,0.260707635009311,0.11762880198634389,0.01893234016139044,0.43234016139044074,0.6563625077591557,3.899741847105456,15966
IR,1195,-3.56683155599674,-3.53535353535353,0.3472803347280335,0.17656903765690377,0.005857740585774059,0.3799163179916318,-0.15246861924686192,3.6171759082669297,5068
IS,4571,-4.613701823784271,-4.62476486994876,0.41522642747757604,0.23408444541675782,0.024939838109822796,0.3161233865674907,-1.07464449792168,3.6112946376959836,18836
IT,586,-0.6283974454553832,0.155315232397605,0.21331058020477817,0.09215017064846416,0.006825938566552901,0.5273037542662116,1.0967576791808873,3.7654463938958336,2623
IZ,318,-2.3135735601499188,-1.95214105793451,0.2578616352201258,0.14779874213836477,0.006289308176100629,0.46226415094339623,0.6128930817610063,3.60912701282823,1326
JA,734,-0.8450243019189884,-0.569800569800573,0.20299727520435967,0.0994550408719346,0.005449591280653951,0.5,1.2896457765667575,3.8508090117046008,3534
JE,36,-0.8724280109533601,-1.00076982294072,0.19444444444444445,0.1111111111111111,0.0,0.3611111111111111,2.0555555555555554,4.128693996226129,201
JM,114,-3.106402427362635,-3.89380530973452,0.2719298245614035,0.15789473684210525,0.0,0.30701754385964913,0.37280701754385964,3.986533306417171,573
JO,163,-2.511031210886018,-2.54110612855008,0.2822085889570552,0.18404907975460122,0.012269938650306749,0.49079754601226994,0.48957055214723927,3.986035994398963,833
KE,262,-2.3718435418167076,-3.03030303030303,0.3969465648854962,0.13740458015267176,0.022900763358778626,0.2900763358778626,-0.09961832061068698,3.7691001270410207,1142
KN,167,-2.2284188998853796,-2.19378427787934,0.2994011976047904,0.15568862275449102,0.0,0.437125748502994,0.5532934131736527,3.5533362851080783,645
KS,464,-1.3400706867534125,-1.30208333333334,0.21120689655172414,0.10560344827586207,0.00646551724137931,0.4892241379310345,1.1312499999999999,3.7410888944502436,2124
KU,70,-1.838042259147636,-1.25786163522013,0.34285714285714286,0.2,0.0,0.4714285714285714,0.5385714285714286,3.800854016852813,309
KV,22,-1.9109810589577605,-2.1484375,0.45454545454545453,0.18181818181818182,0.0,0.3181818181818182,-1.1818181818181819,3.2979318849450125,65
KZ,82,0.5832409521927032,0.34071550255537,0.06097560975609756,0.024390243902439025,0.024390243902439025,0.6951219512195121,2.698780487804878,3.680512600852222,362
LA,58,2.945186688648475,5.99250936329588,0.05172413793103448,0.034482758620689655,0.017241379310344827,0.8103448275862069,1.682758620689655,3.620090665529557,249
LE,305,-3.8623586261577514,-3.61035422343325,0.3704918032786885,0.20655737704918034,0.0,0.32459016393442625,-0.4845901639344263,3.8438735187417916,1492
LG,24,-1.9159988214194625,-4.81481481481481,0.4166666666666667,0.375,0.0,0.125,-1.125,4.189199474250269,138
LH,36,-2.2907982039286354,-2.44294153119733,0.3611111111111111,0.2222222222222222,0.0,0.19444444444444445,-0.6444444444444445,3.6217971545949386,146
LI,69,3.0163932423283426,3.47394540942928,0.14492753623188406,0.10144927536231885,0.0,0.4927536231884058,1.2608695652173914,3.657849230372429,283
LO,23,-4.277596121259877,-5.34090909090909,0.391304347826087,0.13043478260869565,0.0,0.17391304347826086,-0.1391304347826087,4.497195654351411,145
LY,83,-5.091056953932383,-4.8689138576779,0.30120481927710846,0.13253012048192772,0.012048192771084338,0.3855421686746988,0.7433734939759036,3.4601031746168496,318
MC,27,-0.3328815347666267,-0.86206896551724,0.18518518518518517,0.1111111111111111,0.0,0.2222222222222222,1.877777777777778,4.080097491466413,148
MD,22,1.3429310969068262,2.53623188405797,0.045454545454545456,0.0,0.0,0.6818181818181818,2.590909090909091,3.7722049768243804,90
MG,24,1.3569154589058103,2.4314909896305252,0.0,0.0,0.0,0.5833333333333334,3.4375,3.7052030660634774,108
